parent_id,student_id,parent_name,relationship,income_level,income (monthly),education_level,occupation
1,2021001,Emeka Okafor,Father,Upper Class,"?5,000,000",University,Engineer
2,2021002,Amina Bello,Mother,Lower Upper Class,"?2,500,000",Secondary,Trader
3,2021003,Thandi Molefe,Mother,Middle Class,"?800,000",University,Teacher
4,2021004,Ibrahim Abubakar,Father,Lower Class,"?100,000",Primary,Farmer
5,2021005,Akosua Mensah,Mother,Upper Class,"?6,000,000",University,Doctor
6,2021006,Zainab Ahmed,Mother,Poor,"?40,000",Secondary,Vendor
7,2021007,Kwame Nkrumah,Father,Middle Class,"?900,000",University,Engineer
8,2021008,Amina Diop,Mother,Lower Upper Class,"?3,000,000",Secondary,Nurse
9,2021009,Samuel Otieno,Father,Poor,"?70,000",Primary,Mechanic
10,2021010,Lara Okeke,Mother,Upper Class,"?4,500,000",University,Lawyer
11,2021011,Idris Yusuf,Father,Middle Class,"?1,000,000",University,Teacher
12,2021012,Nia Mwangi,Mother,Lower Class,"?150,000",Secondary,Trader
13,2021013,Ahmed Diallo,Father,Poor,"?90,000",Primary,Farmer
14,2021014,Mariam Kamara,Mother,Lower Upper Class,"?2,000,000",Secondary,Trader
15,2021015,Tunde Adeyemi,Father,Middle Class,"?1,200,000",University,Engineer
16,2021016,Ifeoma Nwankwo,Mother,Upper Class,"?5,500,000",University,Doctor
17,2021017,Malik Juma,Father,Poor,"?30,000",Primary,Farmer
18,2021018,Laila Hassan,Mother,Lower Upper Class,"?3,500,000",Secondary,Nurse
19,2021019,Dineo Khumalo,Father,Middle Class,"?1,000,000",University,Teacher
20,2021020,Kofi Boateng,Mother,Poor,"?50,000",Primary,Mechanic
21,2021021,Yara Abdi,Father,Upper Class,"?6,500,000",University,Lawyer
22,2021022,Thabo Sibanda,Mother,Lower Class,"?120,000",Secondary,Trader
23,2021023,Ayo Ogunleye,Father,Poor,"?80,000",Primary,Farmer
24,2021024,Jamal Abubakar,Mother,Lower Upper Class,"?2,800,000",Secondary,Nurse
25,2021025,Sade Olawale,Father,Middle Class,"?1,500,000",University,Engineer
26,2021026,Zuri Mwenda,Mother,Upper Class,"?5,200,000",University,Doctor
27,2021027,Tariq Ndung'u,Father,Poor,"?20,000",Primary,Farmer
28,2021028,Fatou Sow,Mother,Lower Upper Class,"?3,200,000",Secondary,Trader
29,2021029,Juma Muriuki,Father,Middle Class,"?1,000,000",University,Teacher
