student_id,first_name,last_name,gender,date_of_birth,class,admission_date
2021001,Chinedu,Okafor,Male,15-05-05,SSS3,01-09-19
2021002,Aisha,Bello,Female,22-06-05,SSS3,01-09-19
2021003,Thabo,Molefe,Male,10-07-05,SSS3,01-09-19
2021004,Fatima,Abubakar,Female,03-08-05,SSS3,01-09-19
2021005,Kofi,Mensah,Male,12-09-05,SSS3,01-09-19
2021006,Zainab,Ahmed,Female,20-10-05,SSS3,01-09-19
2021007,Kwame,Nkrumah,Male,15-11-05,SSS3,01-09-19
2021008,Amina,Diop,Female,05-12-05,SSS3,01-09-19
2021009,Samuel,Otieno,Male,30-01-05,SSS3,01-09-19
2021010,Lara,Okeke,Female,28-02-05,SSS3,01-09-19
2021011,Idris,Yusuf,Male,15-03-05,SSS3,01-09-19
2021012,Nia,Mwangi,Female,10-04-05,SSS3,01-09-19
2021013,Ahmed,Diallo,Male,25-05-05,SSS3,01-09-19
2021014,Mariam,Kamara,Female,18-06-05,SSS3,01-09-19
2021015,Tunde,Adeyemi,Male,20-07-05,SSS3,01-09-19
2021016,Ifeoma,Nwankwo,Female,22-08-05,SSS3,01-09-19
2021017,Malik,Juma,Male,14-09-05,SSS3,01-09-19
2021018,Laila,Hassan,Female,05-10-05,SSS3,01-09-19
2021019,Dineo,Khumalo,Female,01-11-05,SSS3,01-09-19
2021020,Kofi,Boateng,Male,29-12-05,SSS3,01-09-19
2021021,Yara,Abdi,Female,15-01-05,SSS3,01-09-19
2021022,Thabo,Sibanda,Male,20-02-05,SSS3,01-09-19
2021023,Ayo,Ogunleye,Female,18-03-05,SSS3,01-09-19
2021024,Jamal,Abubakar,Male,22-04-05,SSS3,01-09-19
2021025,Sade,Olawale,Female,30-05-05,SSS3,01-09-19
2021026,Zuri,Mwenda,Female,25-06-05,SSS3,01-09-19
2021027,Tariq,Ndung'u,Male,28-07-05,SSS3,01-09-19
2021028,Fatou,Sow,Female,15-08-05,SSS3,01-09-19
2021029,Juma,Muriuki,Male,10-09-05,SSS3,01-09-19
2021030,Amina,Juma,Female,02-10-05,SSS3,01-09-19
2021031,Kwaku,Agyeman,Male,12-11-05,SSS3,01-09-19
2021032,Lindiwe,Mthembu,Female,09-12-05,SSS3,01-09-19
2021033,Sefakor,Akoto,Female,28-01-05,SSS3,01-09-19
2021034,Obinna,Ibe,Male,14-02-05,SSS3,01-09-19
2021035,Zainab,Bello,Female,05-03-05,SSS3,01-09-19
2021036,Femi,Ojo,Male,17-04-05,SSS3,01-09-19
2021037,Muna,Alhassan,Female,19-05-05,SSS3,01-09-19
2021038,Ayo,Ogunjobi,Male,29-06-05,SSS3,01-09-19
2021039,Chika,Nwosu,Female,21-07-05,SSS3,01-09-19
2021040,Imani,Karanja,Female,11-08-05,SSS3,01-09-19
2021041,Kofi,Asante,Male,16-09-05,SSS3,01-09-19
2021042,Zuri,Sefu,Female,25-10-05,SSS3,01-09-19
2021043,Nia,Chikondi,Female,30-11-05,SSS3,01-09-19
2021044,Malik,Chikwe,Male,22-12-05,SSS3,01-09-19
2021045,Tunde,Adebayo,Male,10-01-05,SSS3,01-09-19
2021046,Ifeoma,Okwudili,Female,12-02-05,SSS3,01-09-19
2021047,Ayo,Akinyemi,Male,17-03-05,SSS3,01-09-19
2021048,Fatima,Khamis,Female,26-04-05,SSS3,01-09-19
2021049,Tumi,Nkosi,Female,14-05-05,SSS3,01-09-19
2021050,Kanyinsola,Adebayo,Male,30-06-05,SSS3,01-09-19
2021051,Nneka,Ibe,Female,15-01-05,SSS3,01-09-19
2021052,David,Mwanga,Male,22-02-05,SSS3,01-09-19
2021053,Zola,Ndlovu,Female,10-03-05,SSS3,01-09-19
2021054,Kelechi,Nwosu,Male,01-04-05,SSS3,01-09-19
2021055,Amina,Juma,Female,20-05-05,SSS3,01-09-19
2021056,Tunde,Ogunleye,Male,15-06-05,SSS3,01-09-19
2021057,Leila,Kamara,Female,30-07-05,SSS3,01-09-19
2021058,Sipho,Khumalo,Male,12-08-05,SSS3,01-09-19
2021059,Chiamaka,Eze,Female,25-09-05,SSS3,01-09-19
2021060,Abdi,Mohamed,Male,17-10-05,SSS3,01-09-19
2021061,Zainab,Moyo,Female,05-11-05,SSS3,01-09-19
2021062,Farai,Chikanda,Male,22-12-05,SSS3,01-09-19
2021063,Nia,Karanja,Female,10-01-05,SSS3,01-09-19
2021064,Thabo,Mokoena,Male,18-02-05,SSS3,01-09-19
2021065,Ify,Obi,Female,25-03-05,SSS3,01-09-19
2021066,Juma,Abdi,Male,20-04-05,SSS3,01-09-19
2021067,Talia,Adetola,Female,30-05-05,SSS3,01-09-19
2021068,Mosi,Amani,Male,12-06-05,SSS3,01-09-19
2021069,Kanya,Mthembu,Female,28-07-05,SSS3,01-09-19
2021070,Dineo,Nkosi,Male,14-08-05,SSS3,01-09-19
2021071,Simi,Olawale,Female,19-09-05,SSS3,01-09-19
2021072,Kofi,Boateng,Male,26-10-05,SSS3,01-09-19
2021073,Ayo,Ogunjobi,Female,11-11-05,SSS3,01-09-19
2021074,Thandiwe,Moyo,Male,18-12-05,SSS3,01-09-19
2021075,Chuka,Ibe,Female,22-01-05,SSS3,01-09-19
2021076,Sizwe,Mkhize,Male,17-02-05,SSS3,01-09-19
2021077,Tolu,Adebayo,Female,05-03-05,SSS3,01-09-19
2021078,Youssef,El Amrani,Male,14-04-05,SSS3,01-09-19
2021079,Dalia,Abdelaziz,Female,02-05-05,SSS3,01-09-19
2021080,Nuru,Niyonzima,Male,29-06-05,SSS3,01-09-19
2021081,Amani,Mwanga,Female,10-07-05,SSS3,01-09-19
2021082,Kato,Nuwagaba,Male,21-08-05,SSS3,01-09-19
2021083,Nia,Chikondi,Female,30-09-05,SSS3,01-09-19
2021084,Abubakar,Abdi,Male,11-10-05,SSS3,01-09-19
2021085,Zuri,Mburu,Female,19-11-05,SSS3,01-09-19
2021086,Tunde,Ogunleye,Male,07-12-05,SSS3,01-09-19
2021087,Fola,Adesanya,Female,13-01-05,SSS3,01-09-19
2021088,Nuru,Khamisi,Male,24-02-05,SSS3,01-09-19
2021089,Nia,Okoro,Female,15-03-05,SSS3,01-09-19
2021090,Juma,Mshindo,Male,05-04-05,SSS3,01-09-19
2021091,Zuri,Mumba,Female,25-05-05,SSS3,01-09-19
2021092,Kofi,Owusu,Male,22-06-05,SSS3,01-09-19
2021093,Amara,Chukwuma,Female,12-07-05,SSS3,01-09-19
2021094,Thabo,Mkhwanazi,Male,18-08-05,SSS3,01-09-19
2021095,Zainab,Abubakar,Female,29-09-05,SSS3,01-09-19
2021096,Sulaiman,Dada,Male,14-10-05,SSS3,01-09-19
2021097,Amira,Khamisi,Female,03-11-05,SSS3,01-09-19
2021098,Tunde,Olaniyan,Male,11-12-05,SSS3,01-09-19
2021099,Aisha,Arif,Female,08-01-05,SSS3,01-09-19
2021100,Juma,Abdi,Male,20-02-05,SSS3,01-09-19
